1.1699e-05 1.1665e-05 1.1699e-05 1.1665e-05 1.1699e-05
1.1665e-05 1.1699e-05 1.1665e-05 1.1656e-05 1.2716e-05
1.2699e-05 1.2675e-05 1.2716e-05 1.2698e-05 1.2673e-05
1.2716e-05 1.2698e-05 1.2673e-05 1.2716e-05 1.2699e-05
1.2675e-05 1.2739e-05 1.2716e-05 1.2647e-05 1.2677e-05
1.266e-05 1.2739e-05 1.2716e-05 1.2647e-05 1.2678e-05
1.266e-05 1.1095e-05 1.1055e-05 1.1095e-05 1.1055e-05
1.1101e-05 1.1079e-05 1.1101e-05 1.1079e-05 1.1124e-05
1.109e-05 1.1584e-05 1.263e-05 1.7702e-05 1.7563e-05
2.0642e-05 2.5628e-05 1.1124e-05 1.109e-05 1.1584e-05
1.263e-05 1.7702e-05 1.7563e-05 2.0642e-05 2.5628e-05
1.1101e-05 1.1078e-05 1.1582e-05 1.2649e-05 1.7407e-05
2.0547e-05 2.563e-05 1.06e-05 1.1101e-05 1.1078e-05
1.1582e-05 1.2649e-05 1.7408e-05 2.0547e-05 2.563e-05
1.06e-05 1.1101e-05 1.1078e-05 1.1582e-05 1.2649e-05
1.7408e-05 2.0547e-05 2.5632e-05 1.2912e-05 1.1179e-05
1.1118e-05 1.1611e-05 1.2672e-05 1.7393e-05 2.0518e-05
2.5417e-05 1.2897e-05 1.2912e-05 1.1179e-05 1.1118e-05
1.1611e-05 1.2672e-05 1.7394e-05 2.0518e-05 2.5418e-05
1.1133e-05 1.0935e-05 1.1633e-05 1.2712e-05 1.5415e-05
2.0551e-05 2.5486e-05 3.2366e-05 4.0662e-05 1.1133e-05
1.0935e-05 1.1633e-05 1.2712e-05 1.5414e-05 2.0551e-05
2.5478e-05 3.2334e-05 4.0652e-05 1.2897e-05 1.1143e-05
1.1094e-05 1.1599e-05 1.27e-05 1.743e-05 2.056e-05
2.5439e-05 3.2431e-05 1.1143e-05 1.1094e-05 1.1599e-05
1.27e-05 1.743e-05 2.056e-05 2.5439e-05 3.2432e-05
1.1124e-05 1.1101e-05 1.156e-05 1.2726e-05 1.752e-05
2.064e-05 2.5526e-05 1.1124e-05 1.1101e-05 1.1561e-05
1.2727e-05 1.7515e-05 2.0638e-05 2.5516e-05 1.1124e-05
1.1101e-05 1.156e-05 1.2726e-05 1.752e-05 2.0642e-05
2.5532e-05 1.2864e-05 1.2864e-05 1.1121e-05 1.1149e-05
1.1614e-05 1.2718e-05 1.7291e-05 2.0762e-05 2.5536e-05
1.1121e-05 1.1149e-05 1.1614e-05 1.2718e-05 1.7291e-05
2.0755e-05 2.5532e-05 1.1156e-05 1.1114e-05 1.1156e-05
1.1114e-05 1.1115e-05 1.1109e-05 1.1115e-05 1.1109e-05
1.2987e-05 1.1141e-05 1.1164e-05 1.1491e-05 1.2638e-05
1.2987e-05 1.1141e-05 1.1164e-05 1.1491e-05 1.2638e-05
1.2743e-05 1.7363e-05 2.0531e-05 2.5418e-05 2.0923e-05
2.5841e-05 1.2743e-05 1.7363e-05 2.0531e-05 2.5418e-05
2.0923e-05 2.5841e-05 1.2746e-05 1.272e-05 1.7407e-05
1.733e-05 2.051e-05 2.0432e-05 2.5519e-05 1.2746e-05
1.272e-05 1.7408e-05 1.7331e-05 2.0511e-05 2.0433e-05
2.5519e-05 1.2745e-05 1.2719e-05 1.7407e-05 1.733e-05
2.051e-05 2.0431e-05 2.5517e-05 1.1177e-05 1.1172e-05
1.1144e-05 1.1088e-05 1.281e-05 1.2742e-05 1.2794e-05
1.2826e-05 1.1177e-05 1.1172e-05 1.1145e-05 1.1088e-05
1.281e-05 1.2742e-05 1.2794e-05 1.2826e-05 1.1177e-05
1.1172e-05 1.1144e-05 1.1088e-05 1.2809e-05 1.274e-05
1.2793e-05 1.2825e-05 1.1177e-05 1.1172e-05 1.1144e-05
1.1088e-05 1.2809e-05 1.274e-05 1.2793e-05 1.2825e-05
1.1177e-05 1.1172e-05 1.1144e-05 1.1088e-05 1.2809e-05
1.274e-05 1.2793e-05 1.2825e-05 1.1154e-05 1.1081e-05
